Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
8/7/14,Home,2014-08-07T00:00:00-04:00,2014-08-07T08:23:17-04:00,30197,42.3754311174,-71.1114458017,Home,
8/7/14,Starbucks,2014-08-07T08:28:37-04:00,2014-08-07T08:36:02-04:00,445,42.373886,-71.11295,Coffee Shop,http://foursquare.com/venue/4a5a3eb5f964a520f9b91fe3
8/7/14,Proximate,2014-08-07T08:51:51-04:00,2014-08-07T09:56:16-04:00,3865,42.378716,-71.117205,Tech Startup,http://foursquare.com/venue/51c8c0d1498e5d4d09a48362
8/7/14,Starbucks,2014-08-07T10:05:01-04:00,2014-08-07T10:15:56-04:00,655,42.381903,-71.119934,Coffee Shop,http://foursquare.com/venue/4a467225f964a520dca81fe3
8/7/14,Caspersen Student Center,2014-08-07T10:22:03-04:00,2014-08-07T12:31:06-04:00,7743,42.37890166598297,-71.11866242152347,College Cafeteria,http://foursquare.com/venue/4e790134b0fb5d40982b00d0
8/7/14,Starbucks,2014-08-07T12:44:16-04:00,2014-08-07T12:47:22-04:00,186,42.374494,-71.12017,Coffee Shop,http://foursquare.com/venue/49cabb79f964a520d8581fe3
8/7/14,Proximate,2014-08-07T12:55:08-04:00,2014-08-07T12:56:11-04:00,63,42.378716,-71.117205,Tech Startup,http://foursquare.com/venue/51c8c0d1498e5d4d09a48362
8/7/14,Border Cafe,2014-08-07T13:08:54-04:00,2014-08-07T13:36:23-04:00,1649,42.3743468,-71.120141,Mexican Restaurant,http://foursquare.com/venue/3fd66200f964a520bded1ee3
8/7/14,Proximate,2014-08-07T13:46:32-04:00,2014-08-07T17:53:16-04:00,14804,42.378716,-71.117205,Tech Startup,http://foursquare.com/venue/51c8c0d1498e5d4d09a48362
8/7/14,Home,2014-08-07T18:06:07-04:00,2014-08-07T18:41:46-04:00,2139,42.3754311174,-71.1114458017,Home,
8/7/14,Dickson Bros. True Value,2014-08-07T18:57:54-04:00,2014-08-07T20:24:54-04:00,5220,42.373343,-71.120418,Hardware Store,http://foursquare.com/venue/4aad3cf3f964a5202f5f20e3
8/7/14,Home,2014-08-07T20:38:20-04:00,2014-08-08T00:00:00-04:00,12100,42.3754311174,-71.1114458017,Home,
