Date,Type,Name,Start,End,Duration
7/22/14,place,Home,2014-07-22T00:00:00-05:00,2014-07-22T07:19:46-05:00,26386
7/22/14,move,walking,2014-07-22T07:19:46-05:00,2014-07-22T07:36:50-05:00,1024
7/22/14,place,Proximate,2014-07-22T07:36:51-05:00,2014-07-22T07:39:09-05:00,138
7/22/14,move,walking,2014-07-22T07:39:09-05:00,2014-07-22T07:46:20-05:00,431
7/22/14,place,Starbucks,2014-07-22T07:46:21-05:00,2014-07-22T07:49:14-05:00,173
7/22/14,move,walking,2014-07-22T07:49:14-05:00,2014-07-22T08:19:28-05:00,1814
7/22/14,place,Proximate,2014-07-22T08:19:28-05:00,2014-07-22T08:39:30-05:00,1202
7/22/14,move,walking,2014-07-22T08:39:30-05:00,2014-07-22T08:50:59-05:00,689
7/22/14,place,Home,2014-07-22T08:50:59-05:00,2014-07-22T08:55:26-05:00,267
7/22/14,move,walking,2014-07-22T08:55:26-05:00,2014-07-22T09:08:05-05:00,759
7/22/14,place,Proximate,2014-07-22T09:08:04-05:00,2014-07-22T12:06:10-05:00,10686
7/22/14,move,walking,2014-07-22T12:06:10-05:00,2014-07-22T12:18:48-05:00,758
7/22/14,place,Border Cafe,2014-07-22T12:18:47-05:00,2014-07-22T13:03:42-05:00,2695
7/22/14,move,walking,2014-07-22T13:03:42-05:00,2014-07-22T13:22:44-05:00,1142
7/22/14,place,Floyd's 99 Barbershop,2014-07-22T13:22:44-05:00,2014-07-22T13:48:47-05:00,1563
7/22/14,move,walking,2014-07-22T13:48:47-05:00,2014-07-22T13:58:28-05:00,581
7/22/14,place,Proximate,2014-07-22T13:58:28-05:00,2014-07-22T15:49:40-05:00,6672
7/22/14,move,walking,2014-07-22T15:49:40-05:00,2014-07-22T15:58:07-05:00,507
7/22/14,place,Broadway Marketplace,2014-07-22T15:58:07-05:00,2014-07-22T16:07:57-05:00,590
7/22/14,move,walking,2014-07-22T16:07:57-05:00,2014-07-22T16:12:39-05:00,282
7/22/14,place,Home,2014-07-22T16:12:38-05:00,2014-07-23T00:00:00-05:00,28042
