Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/1/14,Home,2014-09-01T00:00:00-05:00,2014-09-01T14:04:33-05:00,50673,42.3754311174,-71.1114458017,Home,
9/1/14,Whole Foods Market,2014-09-01T14:50:24-05:00,2014-09-01T15:46:33-05:00,3369,42.36137,-71.114178,Supermarket,http://foursquare.com/venue/4a5498d4f964a52026b31fe3
9/1/14,Home,2014-09-01T16:08:23-05:00,2014-09-01T18:03:45-05:00,6922,42.3754311174,-71.1114458017,Home,
9/1/14,CVS/pharmacy,2014-09-01T18:15:09-05:00,2014-09-01T18:19:57-05:00,288,42.37402935435937,-71.11899197101593,Drugstore / Pharmacy,http://foursquare.com/venue/49df6a3ff964a520c6601fe3
9/1/14,Home,2014-09-01T18:29:39-05:00,2014-09-02T00:00:00-05:00,19821,42.3754311174,-71.1114458017,Home,
9/2/14,Home,2014-09-02T00:00:00-05:00,2014-09-02T06:32:32-05:00,23552,42.3754311174,-71.1114458017,Home,
9/2/14,Harvard Innovation Lab,2014-09-02T06:58:49-05:00,2014-09-02T07:55:55-05:00,3426,42.36403242532342,-71.12407621183526,College Technology Building,http://foursquare.com/venue/4e5d4676ae60839ea2e29e64
9/2/14,Aldrich Hall,2014-09-02T08:03:40-05:00,2014-09-02T11:19:52-05:00,11772,42.36578780710847,-71.12210915179602,College Academic Building,http://foursquare.com/venue/4ac64359f964a5206eb320e3
9/2/14,Orinoco,2014-09-02T11:33:45-05:00,2014-09-02T12:13:16-05:00,2371,42.37190996862827,-71.12049603929978,Arepa Restaurant,http://foursquare.com/venue/4f106cace4b072565b8bd1b6
9/2/14,Place in Old Cambridge,2014-09-02T12:21:53-05:00,2014-09-02T12:24:12-05:00,139,42.3711849193,-71.1146043361,,
9/2/14,Home,2014-09-02T12:35:37-05:00,2014-09-02T17:51:15-05:00,18938,42.3754311174,-71.1114458017,Home,
9/2/14,First Printer,2014-09-02T18:08:34-05:00,2014-09-02T19:17:00-05:00,4106,42.37291150229456,-71.11881909172456,Southern / Soul Food Restaurant,http://foursquare.com/venue/4f249887e4b006e5c25df9a2
9/2/14,Orinoco,2014-09-02T19:20:54-05:00,2014-09-02T20:17:32-05:00,3398,42.37190996862827,-71.12049603929978,Arepa Restaurant,http://foursquare.com/venue/4f106cace4b072565b8bd1b6
9/2/14,Home,2014-09-02T20:36:57-05:00,2014-09-03T00:00:00-05:00,12183,42.3754311174,-71.1114458017,Home,
9/3/14,Home,2014-09-03T00:00:00-05:00,2014-09-03T06:31:04-05:00,23464,42.3754311174,-71.1114458017,Home,
9/3/14,Harvard Innovation Lab,2014-09-03T06:53:37-05:00,2014-09-03T07:47:57-05:00,3260,42.36403242532342,-71.12407621183526,College Technology Building,http://foursquare.com/venue/4e5d4676ae60839ea2e29e64
9/3/14,Aldrich Hall,2014-09-03T07:53:01-05:00,2014-09-03T11:19:38-05:00,12397,42.36578780710847,-71.12210915179602,College Academic Building,http://foursquare.com/venue/4ac64359f964a5206eb320e3
9/3/14,Home,2014-09-03T11:39:58-05:00,2014-09-03T13:16:21-05:00,5783,42.3754311174,-71.1114458017,Home,
9/3/14,Floyd's 99 Barbershop,2014-09-03T13:33:17-05:00,2014-09-03T13:59:29-05:00,1572,42.38213717937469,-71.11979826,Salon / Barbershop,http://foursquare.com/venue/4a9d711ff964a520443820e3
9/3/14,Aldrich Hall,2014-09-03T14:33:00-05:00,2014-09-03T16:15:13-05:00,6133,42.36578780710847,-71.12210915179602,College Academic Building,http://foursquare.com/venue/4ac64359f964a5206eb320e3
9/3/14,Wagamama,2014-09-03T16:25:17-05:00,2014-09-03T18:03:15-05:00,5878,42.37189721215247,-71.1207515001297,Ramen / Noodle House,http://foursquare.com/venue/49e00a10f964a5203b611fe3
9/3/14,Home,2014-09-03T18:20:43-05:00,2014-09-04T00:00:00-05:00,20357,42.3754311174,-71.1114458017,Home,
