Date,Type,Name,Start,End,Duration
11/1/14,place,Aryan Sameri Home,2014-11-01T00:00:00-05:00,2014-11-01T01:07:37-05:00,4057
11/1/14,move,transport,2014-11-01T01:07:37-05:00,2014-11-01T01:21:47-05:00,850
11/1/14,place,Home,2014-11-01T01:21:47-05:00,2014-11-01T09:33:08-05:00,29481
11/1/14,move,walking,2014-11-01T09:33:08-05:00,2014-11-01T09:36:40-05:00,212
11/1/14,place,Starbucks,2014-11-01T09:36:40-05:00,2014-11-01T09:41:36-05:00,296
11/1/14,move,walking,2014-11-01T09:41:36-05:00,2014-11-01T10:03:47-05:00,1331
11/1/14,place,Aldrich Hall,2014-11-01T10:03:46-05:00,2014-11-01T11:31:50-05:00,5284
11/1/14,move,walking,2014-11-01T11:31:50-05:00,2014-11-01T11:35:06-05:00,196
11/1/14,place,Place in Allston,2014-11-01T11:35:06-05:00,2014-11-01T11:38:38-05:00,212
11/1/14,move,walking,2014-11-01T11:38:38-05:00,2014-11-01T11:53:40-05:00,902
11/1/14,place,Crema Cafe,2014-11-01T11:53:40-05:00,2014-11-01T15:02:41-05:00,11341
11/1/14,move,walking,2014-11-01T15:02:41-05:00,2014-11-01T15:15:15-05:00,754
11/1/14,place,Home,2014-11-01T15:15:16-05:00,2014-11-02T00:00:00-05:00,31484
11/2/14,place,Home,2014-11-02T00:00:00-05:00,2014-11-02T07:21:11-06:00,30071
11/2/14,move,walking,2014-11-02T07:21:11-06:00,2014-11-02T07:35:20-06:00,849
11/2/14,place,Home,2014-11-02T07:35:20-06:00,2014-11-02T10:47:41-06:00,11541
11/2/14,move,walking,2014-11-02T10:47:41-06:00,2014-11-02T11:03:10-06:00,929
11/2/14,place,Wagamama,2014-11-02T11:03:09-06:00,2014-11-02T12:05:31-06:00,3742
11/2/14,move,walking,2014-11-02T12:05:31-06:00,2014-11-02T12:10:26-06:00,295
11/2/14,place,CVS/pharmacy,2014-11-02T12:10:26-06:00,2014-11-02T12:17:42-06:00,436
11/2/14,move,walking,2014-11-02T12:17:42-06:00,2014-11-02T12:26:41-06:00,539
11/2/14,place,Home,2014-11-02T12:26:42-06:00,2014-11-02T14:51:44-06:00,8702
11/2/14,move,walking,2014-11-02T14:51:44-06:00,2014-11-02T15:03:16-06:00,692
11/2/14,place,Experiment Fund,2014-11-02T15:03:16-06:00,2014-11-02T16:34:04-06:00,5448
11/2/14,move,walking,2014-11-02T16:34:04-06:00,2014-11-02T16:52:29-06:00,1105
11/2/14,place,Home,2014-11-02T16:52:28-06:00,2014-11-03T00:00:00-06:00,25652
11/3/14,place,Home,2014-11-03T00:00:00-06:00,2014-11-03T06:35:04-06:00,23704
11/3/14,move,walking,2014-11-03T06:35:04-06:00,2014-11-03T06:58:41-06:00,1417
11/3/14,place,Aldrich Hall,2014-11-03T06:58:40-06:00,2014-11-03T14:42:26-06:00,27826
11/3/14,move,walking,2014-11-03T14:42:26-06:00,2014-11-03T15:04:00-06:00,1294
11/3/14,place,Home,2014-11-03T15:04:00-06:00,2014-11-03T18:08:41-06:00,11081
11/3/14,move,walking,2014-11-03T18:08:41-06:00,2014-11-03T18:25:16-06:00,995
11/3/14,place,K.C. Young Home,2014-11-03T18:25:15-06:00,2014-11-03T22:50:56-06:00,15941
11/3/14,move,transport,2014-11-03T22:50:56-06:00,2014-11-03T23:07:36-06:00,1000
11/3/14,place,Home,2014-11-03T23:07:36-06:00,2014-11-04T00:00:00-06:00,3144
11/4/14,place,Home,2014-11-04T00:00:00-06:00,2014-11-04T06:34:12-06:00,23652
11/4/14,move,walking,2014-11-04T06:34:12-06:00,2014-11-04T06:51:35-06:00,1043
11/4/14,place,Aldrich Hall,2014-11-04T06:51:35-06:00,2014-11-04T11:14:00-06:00,15745
11/4/14,move,walking,2014-11-04T11:14:00-06:00,2014-11-04T11:16:37-06:00,157
11/4/14,place,Aldrich Hall,2014-11-04T11:16:37-06:00,2014-11-04T13:39:36-06:00,8579
11/4/14,move,walking,2014-11-04T13:39:36-06:00,2014-11-04T14:09:20-06:00,1784
11/4/14,place,Place in Old Cambridge,2014-11-04T14:09:20-06:00,2014-11-04T14:14:27-06:00,307
11/4/14,move,walking,2014-11-04T14:14:27-06:00,2014-11-04T14:32:41-06:00,1094
11/4/14,place,Home,2014-11-04T14:32:41-06:00,2014-11-04T15:54:27-06:00,4906
11/4/14,move,walking,2014-11-04T16:00:31-06:00,2014-11-04T16:08:23-06:00,472
11/5/14,place,Home,2014-11-05T01:38:50-06:00,2014-11-05T06:19:48-06:00,16858
11/5/14,move,walking,2014-11-05T06:19:48-06:00,2014-11-05T06:23:32-06:00,224
11/5/14,place,Broadway Marketplace,2014-11-05T06:23:32-06:00,2014-11-05T06:28:06-06:00,274
11/5/14,move,walking,2014-11-05T06:28:06-06:00,2014-11-05T06:49:00-06:00,1254
11/5/14,place,Aldrich Hall,2014-11-05T06:49:00-06:00,2014-11-05T13:57:07-06:00,25687
11/5/14,move,walking,2014-11-05T13:57:07-06:00,2014-11-05T14:19:27-06:00,1340
11/5/14,place,Home,2014-11-05T14:19:27-06:00,2014-11-05T17:13:02-06:00,10415
