Date,Type,Name,Start,End,Duration
3/4/14,move,bus,2014-03-04T09:19:58-05:00,2014-03-04T09:24:42-05:00,284
3/4/14,move,walking,2014-03-04T09:24:42-05:00,2014-03-04T09:28:42-05:00,240
3/4/14,move,underground,2014-03-04T09:28:42-05:00,2014-03-04T09:46:13-05:00,1051
3/4/14,move,walking,2014-03-04T09:46:13-05:00,2014-03-04T09:50:36-05:00,263
3/4/14,place,Union Station | Gate K,2014-03-04T09:50:37-05:00,2014-03-04T10:15:30-05:00,1493
3/4/14,move,train,2014-03-04T10:33:51-05:00,2014-03-04T15:49:42-05:00,18951
3/4/14,move,train,2014-03-04T16:29:14-05:00,2014-03-04T18:35:29-05:00,7575
3/4/14,move,walking,2014-03-04T18:35:29-05:00,2014-03-04T18:39:59-05:00,270
3/4/14,move,underground,2014-03-04T18:39:59-05:00,2014-03-04T18:58:00-05:00,1081
3/4/14,move,walking,2014-03-04T18:58:00-05:00,2014-03-04T19:07:32-05:00,572
3/4/14,place,Home,2014-03-04T19:07:32-05:00,2014-03-05T00:00:00-05:00,17548
3/5/14,place,Home,2014-03-05T00:00:00-05:00,2014-03-05T09:19:35-05:00,33575
3/5/14,place,Place in Old Cambridge,2014-03-05T09:19:36-05:00,2014-03-05T09:28:14-05:00,518
3/5/14,move,walking,2014-03-05T09:28:14-05:00,2014-03-05T09:42:46-05:00,872
3/5/14,place,Proximate,2014-03-05T09:42:46-05:00,2014-03-05T12:56:49-05:00,11643
3/5/14,move,walking,2014-03-05T12:56:49-05:00,2014-03-05T13:07:49-05:00,660
3/5/14,place,Border Cafe,2014-03-05T13:07:48-05:00,2014-03-05T14:07:31-05:00,3583
3/5/14,move,walking,2014-03-05T14:07:31-05:00,2014-03-05T14:22:40-05:00,909
3/5/14,place,Dillon House,2014-03-05T14:22:40-05:00,2014-03-05T15:39:37-05:00,4617
3/5/14,move,walking,2014-03-05T15:39:37-05:00,2014-03-05T15:48:28-05:00,531
3/5/14,place,Eliot House,2014-03-05T15:48:29-05:00,2014-03-05T18:39:12-05:00,10243
3/5/14,move,walking,2014-03-05T18:39:12-05:00,2014-03-05T18:56:39-05:00,1047
3/5/14,place,Broadway Marketplace,2014-03-05T18:56:39-05:00,2014-03-05T19:03:28-05:00,409
3/5/14,move,walking,2014-03-05T19:03:28-05:00,2014-03-05T19:06:32-05:00,184
3/5/14,place,Home,2014-03-05T19:06:32-05:00,2014-03-06T00:00:00-05:00,17608
3/6/14,place,Home,2014-03-06T00:00:00-05:00,2014-03-06T09:05:51-05:00,32751
3/6/14,move,walking,2014-03-06T09:05:51-05:00,2014-03-06T09:13:52-05:00,481
3/6/14,place,Proximate,2014-03-06T09:13:51-05:00,2014-03-06T11:15:56-05:00,7325
3/6/14,move,walking,2014-03-06T11:15:56-05:00,2014-03-06T11:22:30-05:00,394
3/6/14,place,Wasserstein Hall,2014-03-06T11:22:30-05:00,2014-03-06T13:03:58-05:00,6088
3/6/14,move,walking,2014-03-06T13:03:58-05:00,2014-03-06T13:06:35-05:00,157
3/6/14,place,Proximate,2014-03-06T13:06:34-05:00,2014-03-06T18:18:20-05:00,18706
3/6/14,move,walking,2014-03-06T18:18:20-05:00,2014-03-06T18:30:38-05:00,738
3/6/14,place,Home,2014-03-06T18:30:39-05:00,2014-03-07T00:00:00-05:00,19761
3/7/14,place,Home,2014-03-07T00:00:00-05:00,2014-03-07T10:01:44-05:00,36104
3/7/14,move,walking,2014-03-07T10:01:44-05:00,2014-03-07T10:15:04-05:00,800
3/7/14,place,Proximate,2014-03-07T10:15:04-05:00,2014-03-07T13:29:51-05:00,11687
3/7/14,move,walking,2014-03-07T13:29:51-05:00,2014-03-07T13:40:30-05:00,639
3/7/14,move,underground,2014-03-07T13:40:30-05:00,2014-03-07T13:48:00-05:00,450
3/7/14,move,walking,2014-03-07T13:48:01-05:00,2014-03-07T13:51:38-05:00,217
3/7/14,place,One Broadway,2014-03-07T13:51:38-05:00,2014-03-07T14:03:01-05:00,683
3/7/14,move,walking,2014-03-07T14:03:01-05:00,2014-03-07T14:09:32-05:00,391
3/7/14,place,101 Main St  (CIC),2014-03-07T14:09:32-05:00,2014-03-07T15:02:14-05:00,3162
3/7/14,move,walking,2014-03-07T15:02:14-05:00,2014-03-07T15:13:21-05:00,667
3/7/14,place,Boston Marriott Cambridge,2014-03-07T15:13:21-05:00,2014-03-07T16:02:35-05:00,2954
3/7/14,move,walking,2014-03-07T16:02:35-05:00,2014-03-07T16:07:00-05:00,265
3/7/14,move,underground,2014-03-07T16:07:00-05:00,2014-03-07T16:13:30-05:00,390
3/7/14,move,walking,2014-03-07T16:13:30-05:00,2014-03-07T16:29:33-05:00,963
3/7/14,place,Proximate,2014-03-07T16:29:33-05:00,2014-03-07T20:11:49-05:00,13336
3/7/14,move,walking,2014-03-07T20:11:49-05:00,2014-03-07T20:23:15-05:00,686
